tractID,Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Total:_x,Owner occupied,Renter occupied,Total:_y,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Median value (dollars),Total:,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed,pct_owner_occ,pct_renter_occ,pct_white,pct_black,pct_asian,pct_amer_indian,pct_pacific_isl,pct_other_race,pct_two_plus_race,pct_renter_cost_burdened,pct_renter_severely_burdened,TRACTCE,GEOID
284.02,82256.0,2203,797,1406,6158,1499,2342,44,652,22,1306,293,113,180,559400.0,1406,0,274,205,97,50,307,43,148,268,14,0.36177939173853835,0.6382206082614617,0.24342318934719065,0.3803182851575187,0.10587853199090613,0.0071451770055212735,0.0035725885027606367,0.21208184475479053,0.04758038324131211,0.5448079658605974,0.1906116642958748,028402,53033028402
284.03,61188.0,2842,1263,1579,6222,1650,2027,0,1293,40,326,886,417,469,307700.0,1579,15,175,43,240,145,241,125,177,418,0,0.444405348346235,0.555594651653765,0.2651880424300868,0.32577949212471874,0.2078109932497589,0.0,0.006428801028608165,0.05239472838315654,0.14239794278367085,0.6086130462317922,0.26472450918302726,028403,53033028403
285,98478.0,1652,978,674,4309,1936,504,14,559,0,394,902,153,749,599600.0,674,9,35,72,122,48,106,18,45,158,61,0.5920096852300242,0.40799031476997577,0.4492921791598979,0.1169644929217916,0.12972847528428869,0.0032490136922719887,0.0,0.0914365281967974,0.20932931074495242,0.48516320474777447,0.2344213649851632,028500,53033028500
286,158482.0,2527,2048,479,6631,5381,60,0,324,0,67,799,419,380,1003900.0,479,0,20,41,95,80,44,27,75,97,0,0.8104471705579739,0.18955282944202612,0.8114914794148695,0.009048408988086261,0.04886140853566581,0.0,0.0,0.010104056703362991,0.12049464635801538,0.5073068893528184,0.20250521920668058,028600,53033028600
287,132207.0,1697,1572,125,4974,3014,257,42,638,0,183,840,419,421,623800.0,125,0,0,0,16,13,8,9,10,20,49,0.9263406010606954,0.07365939893930465,0.6059509449135505,0.05166867712102935,0.1282669883393647,0.008443908323281062,0.0,0.0367913148371532,0.16887816646562123,0.376,0.16,028700,53033028700
288.01,71682.0,1062,524,538,3477,2097,532,49,442,0,72,285,50,235,558600.0,538,0,21,38,5,48,139,9,117,161,0,0.4934086629001883,0.5065913370998116,0.6031061259706644,0.15300546448087432,0.1271210813920046,0.014092608570606844,0.0,0.02070750647109577,0.08196721311475409,0.79182156133829,0.2992565055762082,028801,53033028801
288.02,59208.0,2687,808,1879,7389,1664,1735,0,499,210,2382,899,195,704,626600.0,1879,0,0,137,184,34,228,101,653,542,0,0.3007071082992185,0.6992928917007816,0.22519962105832994,0.23480849912031398,0.06753281905535255,0.0,0.028420625253755584,0.3223710921640276,0.12166734334822032,0.8110697179350719,0.28845130388504525,028802,53033028802
289.01,86140.0,1682,922,760,3687,2338,70,17,394,72,463,333,61,272,595800.0,760,0,0,17,89,84,123,49,67,304,27,0.5481569560047562,0.4518430439952438,0.6341198806617846,0.01898562516951451,0.10686194738269596,0.004610794684024953,0.01952807160292921,0.12557634933550313,0.09031733116354759,0.7144736842105263,0.4,028901,53033028901
289.02,57651.0,2663,772,1891,7428,2032,1824,37,425,418,1452,1240,459,781,482500.0,1891,38,125,33,146,232,65,142,327,770,13,0.2898986105895606,0.7101013894104393,0.2735595045772752,0.2455573505654281,0.057215939687668284,0.00498115239633818,0.05627355950457728,0.19547657512116318,0.16693591814754982,0.6895822316234796,0.4071919619249075,028902,53033028902
290.01,105087.0,1661,1107,554,3833,2367,204,6,407,0,231,618,275,343,558100.0,554,0,93,8,52,111,45,14,9,171,51,0.6664659843467791,0.33353401565322094,0.6175319593008087,0.05322201930602661,0.1061831463605531,0.0015653535090007827,0.0,0.060266110096530136,0.1612314114270806,0.4314079422382672,0.30866425992779783,029001,53033029001
