tractID,Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Total:_x,Owner occupied,Renter occupied,Total:_y,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Median value (dollars),Total:,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed,pct_owner_occ,pct_renter_occ,pct_white,pct_black,pct_asian,pct_amer_indian,pct_pacific_isl,pct_other_race,pct_two_plus_race,pct_renter_cost_burdened,pct_renter_severely_burdened,TRACTCE,GEOID
36.02,110991.0,3326,406,2920,4493,2547,232,15,947,0,205,547,318,229,770200.0,2920,91,81,615,621,348,198,125,222,592,27,0.12206855081178593,0.8779314491882141,0.5668818161584688,0.05163587803249499,0.21077231248608946,0.0033385265969285557,0.0,0.04562653015802359,0.12174493656799466,0.38938356164383564,0.20273972602739726,003602,53033003602
38,183068.0,889,573,316,2325,1534,90,13,417,0,62,209,51,158,1053100.0,316,46,45,125,0,17,29,8,23,23,0,0.6445444319460067,0.35545556805399325,0.6597849462365591,0.03870967741935484,0.17935483870967742,0.005591397849462366,0.0,0.02666666666666667,0.08989247311827957,0.2626582278481013,0.07278481012658228,003800,53033003800
39,226159.0,1166,940,226,3349,2089,33,0,700,0,61,466,157,309,1266500.0,226,14,60,0,37,44,0,0,20,30,21,0.8061749571183533,0.19382504288164665,0.6237682890415049,0.009853687667960586,0.20901761719916392,0.0,0.0,0.01821439235592714,0.1391460137354434,0.22123893805309736,0.13274336283185842,003900,53033003900
40,120850.0,1389,949,440,3075,2251,137,36,342,0,82,227,30,197,1263600.0,440,8,9,30,64,54,23,32,22,169,29,0.6832253419726422,0.3167746580273578,0.7320325203252033,0.04455284552845529,0.11121951219512195,0.011707317073170732,0.0,0.02666666666666667,0.07382113821138211,0.5590909090909091,0.3840909090909091,004000,53033004000
41.01,,1359,1251,108,3999,3302,11,0,293,0,19,374,261,113,,108,1,0,16,16,0,0,11,21,33,10,0.9205298013245033,0.07947019867549669,0.8257064266066516,0.0027506876719179795,0.07326831707926981,0.0,0.0,0.004751187796949237,0.0935233808452113,0.6018518518518519,0.3055555555555556,004101,53033004101
41.02,240648.0,1716,1178,538,4294,3118,7,0,700,11,72,386,126,260,1474300.0,538,20,60,54,118,87,26,61,51,61,0,0.6864801864801865,0.3135198135198135,0.7261294829995343,0.0016301816488122963,0.1630181648812296,0.0,0.0025617140195621797,0.016767582673497903,0.08989287377736377,0.36988847583643125,0.11338289962825279,004102,53033004102
42.01,195208.0,1576,1120,456,3838,2918,20,0,391,0,64,445,194,251,1268900.0,456,84,23,110,94,76,0,20,25,24,0,0.7106598984771574,0.2893401015228426,0.7602918186555497,0.005211047420531527,0.10187597707139134,0.0,0.0,0.016675351745700884,0.11594580510682648,0.1513157894736842,0.05263157894736842,004201,53033004201
42.02,190450.0,1861,1356,505,4705,3488,19,57,508,0,34,599,192,407,1144300.0,505,10,98,96,116,141,0,0,0,44,0,0.7286405158516926,0.27135948414830735,0.7413390010626992,0.004038257173219979,0.1079702444208289,0.012114771519659936,0.0,0.007226354941551541,0.1273113708820404,0.08712871287128712,0.08712871287128712,004202,53033004202
43.01,119464.0,1301,587,714,3486,2274,162,195,536,10,22,287,103,184,1165300.0,714,46,45,74,37,58,36,42,137,203,36,0.4511913912375096,0.5488086087624904,0.6523235800344234,0.04647160068846816,0.15375788869764773,0.05593803786574871,0.002868617326448652,0.006310958118187034,0.0823293172690763,0.5854341736694678,0.28431372549019607,004301,53033004301
43.02,38984.0,1833,107,1726,4549,2599,235,31,928,12,122,622,187,435,709000.0,1726,80,54,66,35,177,52,185,184,731,162,0.05837424986361157,0.9416257501363884,0.5713343591998241,0.051659705429764786,0.20400087931413496,0.0068146845460540775,0.002637942404924159,0.02681908111672895,0.13673334798856893,0.6674391657010429,0.4235225955967555,004302,53033004302
44.01,120521.0,1341,623,718,3842,2919,103,0,476,3,35,306,82,224,1189000.0,718,86,18,14,96,58,77,38,9,297,25,0.4645786726323639,0.5354213273676361,0.7597605413846955,0.02680895366996356,0.12389380530973451,0.0,0.0007808433107756377,0.009109838625715773,0.07964601769911504,0.5863509749303621,0.4136490250696379,004401,53033004401
44.02,53852.0,1831,93,1738,3511,1638,131,0,1224,43,261,214,82,132,990600.0,1738,157,152,86,84,106,155,97,178,517,206,0.05079191698525396,0.949208083014746,0.46653375106807177,0.0373113073198519,0.34861862717174597,0.0,0.0122472230133865,0.07433779549985758,0.0609512959270863,0.5448791714614499,0.2974683544303797,004402,53033004402
45,191336.0,1091,648,443,3475,2425,69,0,523,0,83,375,112,263,1069900.0,443,0,69,104,46,22,55,0,0,147,0,0.5939505041246563,0.4060494958753437,0.697841726618705,0.019856115107913668,0.15050359712230216,0.0,0.0,0.023884892086330937,0.1079136690647482,0.45598194130925507,0.33182844243792325,004500,53033004500
46,164550.0,1453,886,567,3652,2931,46,9,277,0,64,325,128,197,1325300.0,567,0,49,229,60,55,109,11,0,40,14,0.6097728836889195,0.39022711631108054,0.8025739320920043,0.012595837897042717,0.07584884994523548,0.0024644030668127055,0.0,0.017524644030668127,0.08899233296823658,0.2821869488536155,0.07054673721340388,004600,53033004600
47.01,102708.0,2274,539,1735,3446,2370,32,0,371,0,145,528,257,271,515800.0,1735,65,167,132,216,152,160,130,214,393,106,0.23702726473175023,0.7629727352682498,0.6877539175856066,0.009286128845037725,0.10766105629715612,0.0,0.0,0.04207777132907719,0.15322112594312245,0.5170028818443804,0.22651296829971182,004701,53033004701
47.02,118622.0,2466,757,1709,3697,2537,64,13,698,0,46,339,268,71,558600.0,1709,169,134,465,63,205,55,111,35,417,55,0.30697485806974856,0.6930251419302514,0.6862320800649175,0.017311333513659724,0.18880173113335136,0.0035163646199621317,0.0,0.012442520962942927,0.09169596970516636,0.36161497952018723,0.24400234055002926,004702,53033004702
47.03,166921.0,2138,493,1645,4173,2808,15,0,744,0,0,606,326,280,972300.0,1645,48,490,215,236,188,45,181,77,165,0,0.23058933582787652,0.7694106641721234,0.6728971962616822,0.0035945363048166786,0.17828900071890727,0.0,0.0,0.0,0.14521926671459381,0.2844984802431611,0.10030395136778116,004703,53033004703
48,167266.0,2531,1395,1136,5181,3678,18,10,919,0,29,527,173,354,1064200.0,1136,66,117,226,88,383,66,62,46,70,12,0.5511655472145397,0.4488344527854603,0.7099015634047481,0.003474232773595831,0.17737888438525382,0.0019301293186643506,0.0,0.005597375024126616,0.10171781509361127,0.2147887323943662,0.061619718309859156,004800,53033004800
49.01,123156.0,2028,845,1183,3693,2648,106,0,368,0,30,541,253,288,995300.0,1183,45,168,76,160,171,123,41,158,200,41,0.4166666666666667,0.5833333333333334,0.7170322231248307,0.028702951529921472,0.09964798266991606,0.0,0.0,0.008123476848090982,0.14649336582724073,0.44125105663567205,0.16906170752324598,004901,53033004901
49.02,121726.0,1953,609,1344,3271,2344,125,0,432,0,0,370,96,274,987300.0,1344,95,163,190,248,126,208,51,66,158,39,0.3118279569892473,0.6881720430107527,0.7166004280036686,0.03821461326811373,0.13206970345460103,0.0,0.0,0.0,0.11311525527361663,0.359375,0.11755952380952381,004902,53033004902
50,116467.0,2617,643,1974,4778,3420,35,0,546,20,180,577,447,130,1147100.0,1974,18,158,424,278,84,194,187,167,464,0,0.2457011845624761,0.7542988154375239,0.7157806613645877,0.007325240686479699,0.1142737547090833,0.0,0.004185851820845542,0.037672666387609875,0.12076182503139389,0.5126646403242148,0.23505572441742653,005000,53033005000
51,161506.0,1607,948,659,3809,3009,14,0,179,0,96,511,268,243,1208500.0,659,19,70,125,127,84,33,0,12,189,0,0.5899191039203485,0.41008089607965154,0.7899711210291415,0.0036755053819900237,0.046993961669729585,0.0,0.0,0.02520346547650302,0.13415594644263587,0.3550834597875569,0.2867981790591806,005100,53033005100
52.01,100188.0,1845,617,1228,3798,2075,179,39,864,0,204,437,44,393,1177600.0,1228,47,59,119,135,79,50,117,100,469,53,0.3344173441734417,0.6655826558265583,0.5463401790416008,0.047130068457082674,0.22748815165876776,0.010268562401263823,0.0,0.053712480252764615,0.11506055818852028,0.5993485342019544,0.38192182410423453,005201,53033005201
52.02,49598.0,1738,38,1700,2853,1290,57,0,1192,22,69,223,35,188,,1700,92,115,90,86,75,94,249,213,488,198,0.02186421173762946,0.9781357882623706,0.45215562565720296,0.019978969505783387,0.41780581843673326,0.0,0.0077111812127585,0.024185068349106203,0.0781633368384157,0.6141176470588235,0.28705882352941176,005202,53033005202
53.03,37500.0,66,0,66,4203,1851,221,14,1437,31,111,538,142,396,,66,0,0,0,6,5,0,16,11,28,0,0.0,1.0,0.44039971448965026,0.05258148941232453,0.3418986438258387,0.0033309540804187486,0.007375684035212943,0.026409707351891507,0.12800380680466333,0.8333333333333334,0.42424242424242425,005303,53033005303
53.04,17500.0,124,0,124,3425,1367,162,38,1313,9,78,458,49,409,,124,0,0,0,0,4,0,0,4,96,20,0.0,1.0,0.39912408759124085,0.0472992700729927,0.38335766423357664,0.011094890510948904,0.002627737226277372,0.022773722627737226,0.1337226277372263,0.8064516129032258,0.7741935483870968,005304,53033005304
53.05,24444.0,1302,72,1230,2275,817,198,127,842,25,18,248,23,225,10000.0,1230,15,8,11,57,84,43,50,116,681,165,0.055299539170506916,0.9447004608294931,0.35912087912087914,0.08703296703296703,0.3701098901098901,0.05582417582417582,0.01098901098901099,0.007912087912087912,0.10901098901098902,0.7235772357723578,0.5536585365853659,005305,53033005305
53.06,43837.0,1941,136,1805,3632,1512,165,71,1551,0,95,238,54,184,,1805,0,100,283,116,166,92,111,57,766,114,0.07006697578567748,0.9299330242143226,0.41629955947136565,0.0454295154185022,0.4270374449339207,0.019548458149779735,0.0,0.026156387665198236,0.06552863436123348,0.5684210526315789,0.42437673130193904,005306,53033005306
53.07,42692.0,556,2,554,3068,1837,46,11,527,0,181,466,49,417,,554,32,48,0,15,18,18,184,0,227,12,0.0035971223021582736,0.9964028776978417,0.598761408083442,0.01499348109517601,0.17177314211212516,0.003585397653194263,0.0,0.05899608865710561,0.15189048239895697,0.7743682310469314,0.40974729241877256,005307,53033005307
54.01,146417.0,2291,632,1659,3599,2373,64,0,597,0,51,514,170,344,971900.0,1659,41,347,297,298,121,87,102,167,185,14,0.27586206896551724,0.7241379310344828,0.6593498193942762,0.017782717421505972,0.1658794109474854,0.0,0.0,0.014170602945262572,0.14281744929146986,0.32610006027727545,0.11151295961422544,005401,53033005401
54.02,115815.0,1769,551,1218,2998,2264,57,0,453,0,49,175,103,72,1079800.0,1218,11,146,227,38,148,153,77,75,275,68,0.3114754098360656,0.6885245901639344,0.7551701134089392,0.019012675116744496,0.15110073382254838,0.0,0.0,0.016344229486324215,0.058372248165443626,0.47619047619047616,0.2257799671592775,005402,53033005402
56,240137.0,2645,2367,278,6992,5520,271,19,648,0,134,400,47,353,1559200.0,278,0,43,117,8,36,0,0,13,61,0,0.8948960302457467,0.1051039697542533,0.7894736842105263,0.03875858123569794,0.09267734553775744,0.002717391304347826,0.0,0.01916475972540046,0.057208237986270026,0.26618705035971224,0.21942446043165467,005600,53033005600
57,185945.0,3153,2153,1000,6834,4920,0,62,710,41,379,722,144,578,1150500.0,1000,19,185,182,239,60,134,0,48,133,0,0.6828417380272757,0.3171582619727244,0.7199297629499561,0.0,0.10389230318993269,0.009072285630670179,0.005999414691249635,0.05545800409716125,0.10564822944103014,0.315,0.133,005700,53033005700
58.01,143952.0,3316,1139,2177,6295,4337,148,49,1019,0,193,549,207,342,879300.0,2177,105,338,494,411,280,81,52,129,270,17,0.34348612786489746,0.6565138721351025,0.6889594916600477,0.02351072279586974,0.16187450357426528,0.00778395552025417,0.0,0.030659253375694997,0.08721207307386815,0.24437299035369775,0.1240238860817639,005801,53033005801
58.03,172649.0,1535,700,835,3251,2262,35,23,553,1,59,318,38,280,1117600.0,835,40,116,219,103,107,68,45,38,99,0,0.4560260586319218,0.5439739413680782,0.6957859120270686,0.01076591817902184,0.17010150722854506,0.0070747462319286376,0.00030759766225776686,0.018148262073208243,0.09781605659796985,0.2994011976047904,0.118562874251497,005803,53033005803
58.04,104147.0,1671,334,1337,2627,1847,76,11,264,0,113,316,160,156,629700.0,1337,10,60,270,485,73,112,65,86,150,26,0.19988031119090366,0.8001196888090963,0.7030833650551961,0.02893033878949372,0.10049486105824133,0.004187285877426722,0.0,0.04301484583174724,0.12028930338789494,0.3089005235602094,0.11219147344801796,005804,53033005804
59.01,150139.0,1273,555,718,3568,2307,181,14,504,0,77,485,175,310,917600.0,718,0,206,58,91,188,20,62,30,40,23,0.43597800471327575,0.5640219952867243,0.6465807174887892,0.05072869955156951,0.1412556053811659,0.003923766816143498,0.0,0.021580717488789238,0.1359304932735426,0.2116991643454039,0.055710306406685235,005901,53033005901
59.02,182389.0,1674,1209,465,4139,2988,46,0,391,1,36,677,205,472,1314100.0,465,16,42,97,62,27,63,36,76,46,0,0.7222222222222222,0.2777777777777778,0.7219135056777,0.01111379560280261,0.09446726262382218,0.0,0.00024160425223483932,0.008697753080454215,0.16356607876298623,0.4752688172043011,0.0989247311827957,005902,53033005902
60,160049.0,3200,1748,1452,6343,4210,64,0,1167,0,193,709,323,386,1137800.0,1452,136,104,150,649,83,21,43,21,214,31,0.54625,0.45375,0.6637237900047296,0.010089862840927007,0.18398234274002837,0.0,0.0,0.030427242629670503,0.11177676178464449,0.2059228650137741,0.14738292011019283,006000,53033006000
61,133307.0,3345,1523,1822,6360,4930,95,23,636,0,154,522,255,267,1395800.0,1822,39,211,270,258,326,196,67,141,209,105,0.4553064275037369,0.544693572496263,0.7751572327044025,0.014937106918238994,0.1,0.0036163522012578617,0.0,0.024213836477987423,0.0820754716981132,0.336443468715697,0.11470911086717893,006100,53033006100
62,,1671,1551,120,4193,3125,232,7,475,0,0,354,130,224,1586000.0,120,23,15,34,28,0,0,0,0,8,12,0.9281867145421903,0.0718132854578097,0.7452897686620558,0.055330312425471026,0.11328404483663249,0.001669449081803005,0.0,0.0,0.08442642499403769,0.06666666666666667,0.06666666666666667,006200,53033006200
63,225464.0,2710,1519,1191,6006,4989,36,0,435,0,0,546,133,413,,1191,58,169,222,189,133,91,19,53,175,82,0.5605166051660516,0.4394833948339483,0.8306693306693307,0.005994005994005994,0.07242757242757243,0.0,0.0,0.0,0.09090909090909091,0.2837951301427372,0.14693534844668346,006300,53033006300
64,232426.0,1449,1243,206,3631,2700,256,3,228,0,4,440,198,242,1613600.0,206,14,16,46,38,15,0,24,0,53,0,0.8578329882677709,0.14216701173222912,0.7435968052877995,0.07050399339025062,0.06279261911319196,0.0008262186725419994,0.0,0.001101624896722666,0.12117873863949326,0.3737864077669903,0.25728155339805825,006400,53033006400
65,173350.0,2928,1323,1605,5052,3676,100,0,786,0,88,402,184,218,1345700.0,1605,262,223,287,228,146,27,132,82,218,0,0.45184426229508196,0.548155737704918,0.7276326207442597,0.01979414093428345,0.15558194774346792,0.0,0.0,0.01741884402216944,0.07957244655581948,0.28598130841121494,0.13582554517133957,006500,53033006500
66,120507.0,2585,682,1903,4257,3106,86,46,252,37,180,550,157,393,1101000.0,1903,69,313,238,310,226,227,88,187,184,61,0.26382978723404255,0.7361702127659574,0.7296217993892412,0.020202020202020204,0.05919661733615222,0.010805731735964294,0.008691566831101715,0.042283298097251586,0.12919896640826872,0.3604834471886495,0.09668943772990016,006600,53033006600
67.01,129438.0,2613,232,2381,3820,1693,0,0,1763,0,0,364,137,227,722200.0,2381,168,550,297,249,60,192,197,113,555,0,0.08878683505549177,0.9112131649445082,0.4431937172774869,0.0,0.46151832460732983,0.0,0.0,0.0,0.09528795811518324,0.44393112137757246,0.23309533809323812,006701,53033006701
67.02,131918.0,2093,390,1703,2903,1452,133,0,969,6,9,334,132,202,1255400.0,1703,79,493,238,325,279,101,67,58,63,0,0.18633540372670807,0.8136645962732919,0.5001722356183259,0.04581467447468136,0.33379262831553563,0.0,0.0020668274199104374,0.003100241129865656,0.11505339304168102,0.16970052847915443,0.0369935408103347,006702,53033006702
67.03,129741.0,1904,1102,802,3103,2188,25,0,339,0,26,525,228,297,880600.0,802,49,62,99,143,120,109,47,36,137,0,0.5787815126050421,0.421218487394958,0.70512407347728,0.008056719303899453,0.10924911376087657,0.0,0.0,0.00837898807605543,0.1691911053818885,0.4102244389027431,0.1708229426433915,006703,53033006703
68,153401.0,1657,734,923,3332,2451,106,0,285,0,37,453,197,256,1596400.0,923,39,112,150,54,210,68,34,56,187,13,0.44296922148461076,0.5570307785153893,0.735594237695078,0.03181272509003601,0.08553421368547419,0.0,0.0,0.011104441776710685,0.13595438175270108,0.37378114842903576,0.20260021668472372,006800,53033006800
69,183421.0,2074,1209,865,4935,3752,58,0,558,0,29,538,277,261,1552400.0,865,0,168,171,94,164,19,61,51,121,16,0.5829315332690453,0.41706846673095466,0.7602836879432624,0.011752786220871328,0.11306990881458967,0.0,0.0,0.005876393110435664,0.10901722391084093,0.29132947976878615,0.13988439306358383,006900,53033006900
70.01,73946.0,2842,950,1892,4215,2988,32,1,325,0,431,438,79,359,591800.0,1892,134,39,375,228,207,307,75,292,182,53,0.3342716396903589,0.6657283603096411,0.7088967971530249,0.007591933570581257,0.0771055753262159,0.00023724792408066428,0.0,0.1022538552787663,0.10391459074733096,0.452431289640592,0.09619450317124736,007001,53033007001
70.02,110327.0,2643,622,2021,4152,2508,228,0,563,6,105,742,237,505,839600.0,2021,114,255,276,343,126,59,94,312,381,61,0.23533863034430572,0.7646613696556943,0.6040462427745664,0.05491329479768786,0.13559730250481697,0.0,0.001445086705202312,0.025289017341040464,0.17870905587668592,0.4186046511627907,0.1885205343889164,007002,53033007002
71.01,122365.0,2141,330,1811,3104,1434,150,0,804,9,63,644,299,345,504200.0,1811,101,175,276,523,147,121,123,121,224,0,0.15413358243811304,0.845866417561887,0.46198453608247425,0.04832474226804124,0.25902061855670105,0.0,0.0028994845360824743,0.02029639175257732,0.20747422680412372,0.3252346769740475,0.1236885698509111,007101,53033007101
71.02,129181.0,1887,366,1521,2696,1415,138,22,877,23,9,212,87,125,631700.0,1521,85,164,227,309,136,116,114,0,307,63,0.19395866454689983,0.8060413354531002,0.5248516320474778,0.05118694362017804,0.3252967359050445,0.008160237388724036,0.008531157270029673,0.0033382789317507417,0.07863501483679525,0.3530571992110454,0.20184089414858647,007102,53033007102
72.01,101737.0,3512,838,2674,5055,2017,132,0,2347,0,110,449,322,127,1012000.0,2674,120,334,538,262,152,346,59,72,655,136,0.2386104783599089,0.7613895216400911,0.3990108803165183,0.026112759643916916,0.4642927794263106,0.0,0.0,0.021760633036597428,0.08882294757665678,0.42333582647718776,0.24495138369483918,007201,53033007201
72.02,174706.0,2386,239,2147,3899,1870,40,0,1779,10,46,154,105,49,953900.0,2147,266,282,439,285,417,89,103,44,222,0,0.10016764459346186,0.8998323554065382,0.4796101564503719,0.010259040779687098,0.45627083867658375,0.0,0.0025647601949217746,0.011797896896640164,0.03949730700179533,0.21332091290172334,0.10340009315323707,007202,53033007202
72.03,137007.0,2539,174,2365,3591,999,238,68,2006,0,36,244,36,208,495900.0,2365,315,535,252,231,396,183,120,16,265,52,0.06853091768412761,0.9314690823158724,0.2781954887218045,0.06627680311890838,0.5586187691450849,0.01893622946254525,0.0,0.010025062656641603,0.06794764689501531,0.24693446088794926,0.11205073995771671,007203,53033007203
73.01,145125.0,2487,0,2487,3682,1237,223,102,1743,0,15,362,127,235,,2487,39,626,452,429,110,86,135,73,331,206,0.0,1.0,0.33595871808799566,0.060564910374796305,0.47338403041825095,0.027702335687126562,0.0,0.004073872895165671,0.09831613253666485,0.2513067953357459,0.13309207880981103,007301,53033007301
73.02,205021.0,3467,316,3151,5243,1860,235,35,2522,7,132,452,384,68,902400.0,3151,343,431,549,509,233,279,186,281,340,0,0.09114508220363426,0.9088549177963657,0.35475872592027463,0.04482166698455083,0.48102231546824337,0.006675567423230975,0.0013351134846461949,0.025176425710471104,0.08621018500858288,0.3446524912726119,0.10790225325293558,007302,53033007302
73.03,164819.0,2705,78,2627,3961,1493,251,43,1828,0,109,237,38,199,721400.0,2627,208,521,254,502,433,78,144,116,325,46,0.028835489833641405,0.9711645101663586,0.3769250189346125,0.06336783640494825,0.4614996213077506,0.010855844483716234,0.0,0.027518303458722543,0.05983337541024994,0.25237913970308334,0.12371526456033498,007303,53033007303
74.03,106846.0,2100,233,1867,2946,1945,164,44,373,0,86,334,134,200,437200.0,1867,84,434,260,256,88,158,194,107,271,15,0.11095238095238096,0.8890476190476191,0.6602172437202987,0.055668703326544465,0.126612355736592,0.01493550577053632,0.0,0.029192124915139173,0.11337406653088934,0.39100160685591856,0.14515265131226568,007403,53033007403
74.04,94458.0,2034,389,1645,2645,2090,9,7,189,0,25,325,48,277,488900.0,1645,82,126,128,417,89,266,81,177,232,47,0.1912487708947886,0.8087512291052114,0.7901701323251418,0.003402646502835539,0.07145557655954632,0.0026465028355387526,0.0,0.00945179584120983,0.12287334593572778,0.4595744680851064,0.14103343465045592,007404,53033007404
74.05,98750.0,1887,191,1696,2429,1501,214,93,301,0,97,223,83,140,479900.0,1696,42,119,260,251,116,123,111,115,244,315,0.10121886592474828,0.8987811340752517,0.6179497735693701,0.08810209962947715,0.1239193083573487,0.03828736105393166,0.0,0.03993412927130506,0.09180732811856732,0.34964622641509435,0.14386792452830188,007405,53033007405
74.06,73788.0,2038,247,1791,2749,1382,51,26,599,0,104,587,264,323,519900.0,1791,34,156,297,127,212,146,269,198,203,149,0.1211972522080471,0.8788027477919529,0.5027282648235722,0.018552200800291015,0.21789741724263367,0.009457984721716987,0.0,0.03783193888686795,0.21353219352491815,0.4556113902847571,0.11334450027917364,007406,53033007406
75.01,84977.0,2947,627,2320,4413,2264,120,79,613,159,363,815,388,427,758800.0,2320,139,340,243,234,295,155,236,178,483,17,0.21275873769935527,0.7872412623006447,0.5130296850215273,0.027192386131883073,0.13890777249036937,0.01790165420348969,0.03602991162474507,0.08225696804894629,0.18468162247903921,0.453448275862069,0.2081896551724138,007501,53033007501
75.02,109471.0,2607,420,2187,3688,1999,200,58,558,31,114,728,80,648,453500.0,2187,45,251,283,655,167,293,116,162,163,52,0.1611047180667434,0.8388952819332566,0.5420281995661606,0.05422993492407809,0.15130151843817788,0.015726681127982648,0.008405639913232104,0.03091106290672451,0.19739696312364424,0.3356195701874714,0.0745313214449017,007502,53033007502
75.03,93182.0,1688,213,1475,2236,1346,84,29,558,0,52,167,41,126,761300.0,1475,68,74,289,203,58,164,100,162,315,42,0.12618483412322276,0.8738151658767772,0.6019677996422182,0.03756708407871199,0.24955277280858676,0.0129695885509839,0.0,0.023255813953488372,0.07468694096601074,0.5023728813559322,0.2135593220338983,007503,53033007503
76,128182.0,2394,799,1595,4651,3757,140,0,511,0,3,240,63,177,964400.0,1595,98,189,310,152,273,149,48,106,256,14,0.3337510442773601,0.66624895572264,0.8077832724145345,0.03010105353687379,0.10986884540958934,0.0,0.0,0.0006450225757901526,0.05160180606321221,0.3504702194357367,0.16050156739811913,007600,53033007600
77,182206.0,2540,1571,969,5736,3973,221,31,486,0,43,982,275,707,1015900.0,969,0,63,179,135,173,127,74,76,110,32,0.618503937007874,0.38149606299212596,0.6926429567642957,0.03852859135285914,0.08472803347280335,0.005404463040446304,0.0,0.007496513249651325,0.1711994421199442,0.3993808049535604,0.11351909184726522,007700,53033007700
78,205056.0,2294,1882,412,5527,3882,494,35,374,0,108,634,242,392,1671000.0,412,0,15,98,53,102,0,21,0,123,0,0.8204010462074979,0.17959895379250218,0.7023701827392799,0.08937941016826488,0.06766781255654061,0.006332549303419577,0.0,0.019540437850551838,0.11470960738194319,0.34951456310679613,0.29854368932038833,007800,53033007800
79.01,75042.0,2127,469,1658,3009,1911,365,15,400,17,87,214,97,117,710300.0,1658,28,146,202,309,335,74,178,128,258,0,0.22049835448989186,0.7795016455101081,0.6350947158524427,0.1213027583914922,0.13293452974410103,0.004985044865403789,0.005649717514124294,0.028913260219341975,0.07111997341309405,0.3848009650180941,0.15560916767189384,007901,53033007901
79.02,115745.0,2159,523,1636,3652,2125,498,0,601,0,22,406,191,215,949200.0,1636,104,91,357,273,74,116,80,153,353,35,0.24224177860120427,0.7577582213987958,0.5818729463307777,0.13636363636363635,0.16456736035049288,0.0,0.0,0.006024096385542169,0.11117196056955093,0.4290953545232274,0.21577017114914426,007902,53033007902
80.02,124464.0,2990,608,2382,4415,2209,392,10,1093,0,154,557,180,377,1215200.0,2382,73,413,380,302,493,189,95,107,261,69,0.20334448160535118,0.7966555183946489,0.5003397508493771,0.08878822197055493,0.24756511891279728,0.0022650056625141564,0.0,0.03488108720271801,0.1261608154020385,0.27371956339210746,0.10957178841309824,008002,53033008002
80.03,127254.0,2860,786,2074,3912,1857,250,0,1155,0,325,325,111,214,727500.0,2074,85,236,205,333,202,207,134,145,360,167,0.2748251748251748,0.7251748251748251,0.4746932515337423,0.06390593047034765,0.29524539877300615,0.0,0.0,0.08307770961145194,0.08307770961145194,0.40790742526518803,0.17357762777242045,008003,53033008003
80.04,178185.0,2179,671,1508,3173,1567,104,0,1014,0,26,462,391,71,655900.0,1508,212,199,345,120,179,95,0,0,358,0,0.30793942175309774,0.6920605782469023,0.49385439647021745,0.03277655215884021,0.3195713835486921,0.0,0.0,0.008194138039710053,0.14560352978254018,0.3003978779840849,0.23740053050397877,008004,53033008004
81.01,111346.0,2038,566,1472,2854,1665,169,51,804,0,39,126,56,70,913600.0,1472,87,206,119,171,414,56,39,50,298,32,0.2777232580961727,0.7222767419038273,0.5833917309039944,0.059215136650315345,0.2817098808689559,0.017869656622284513,0.0,0.013665031534688158,0.04414856341976174,0.30095108695652173,0.20244565217391305,008101,53033008101
81.02,157898.0,2078,285,1793,3680,1816,350,37,1074,61,69,273,109,164,894200.0,1793,34,115,260,331,180,356,83,68,256,110,0.13715110683349374,0.8628488931665063,0.4934782608695652,0.09510869565217392,0.29184782608695653,0.010054347826086956,0.01657608695652174,0.01875,0.07418478260869565,0.4255437813720022,0.14277746793084217,008102,53033008102
82,132924.0,3104,343,2761,4799,2150,358,10,1883,0,36,362,50,312,797900.0,2761,286,376,406,315,344,230,60,113,593,38,0.11050257731958762,0.8894974226804123,0.44801000208376746,0.07459887476557617,0.3923734111273182,0.002083767451552407,0.0,0.007501562825588664,0.07543238174619712,0.3607388627308946,0.21477725461789207,008200,53033008200
83,94365.0,2328,417,1911,3631,1962,142,18,951,23,105,430,183,247,537900.0,1911,134,166,229,215,202,201,243,68,378,75,0.1791237113402062,0.8208762886597938,0.5403470118424677,0.03910768383365464,0.26191131919581384,0.004957312035251997,0.006334343156155329,0.02891765353896998,0.11842467639768658,0.46572475143903713,0.1978021978021978,008300,53033008300
84.01,96492.0,2669,217,2452,3666,2197,46,26,897,43,53,404,117,287,701900.0,2452,48,240,514,337,180,265,92,142,557,77,0.08130385912326714,0.9186961408767329,0.599290780141844,0.012547735951991271,0.24468085106382978,0.0070921985815602835,0.011729405346426624,0.014457174031642117,0.11020185488270595,0.43066884176182707,0.2271615008156607,008401,53033008401
84.02,85587.0,2431,197,2234,3150,1978,231,46,398,0,33,464,203,261,481900.0,2234,65,297,398,127,112,119,586,146,365,19,0.08103661044837515,0.9189633895516248,0.6279365079365079,0.07333333333333333,0.12634920634920635,0.014603174603174604,0.0,0.010476190476190476,0.1473015873015873,0.5443151298119964,0.16338406445837064,008402,53033008402
