GEOID,pct_holc_A,pct_holc_B,pct_holc_C,pct_holc_D,pct_holc_graded,holc_dominant_grade,holc_grade_score
53033001202,0.0,0.0,0.0,0.0,0.0,ungraded,
53033004401,0.0,0.8241035638798629,0.0,0.0,0.8241035638798629,B,2.0
53033004402,0.0,0.7895007885351452,0.0,0.0,0.7895007885351452,B,2.0
53033003202,0.0,0.42745359462013816,0.5725464053798658,0.0,1.000000000000004,C,2.5725464053798635
53033003302,0.0,0.5168492660785715,0.3503224379366985,0.0,0.86717170401527,B,2.4039827825499827
53033010502,0.0,0.7220953579680082,0.2779046420319998,0.0,1.000000000000008,B,2.2779046420319977
53033010501,0.0,1.0000000000000042,0.0,0.0,1.0000000000000042,B,2.0
53033000202,0.0,0.0,0.0,0.0,0.0,ungraded,
53033009600,0.08922498560690183,0.3367663149169866,0.0,0.08189652946623106,0.5078878299901195,B,2.146819964807999
53033009701,0.0,0.4802932489816923,0.06695527644817863,0.0009131197272201473,0.5481616451570911,B,2.1254767029220143
53033009702,0.0,0.2729054959197908,0.6315427495204168,0.01610451490740622,0.9205527603476138,C,2.7210361077887453
53033009900,0.0,0.062129547609752,0.01005799954746772,0.16618027030906352,0.23836781746628322,D,3.436513300349488
53033010200,0.09366080252983912,0.14748580503849515,0.15090317894925936,0.0,0.39204978651759365,C,2.1460079265133114
53033010800,0.0,0.0,0.13927836488550188,0.5553228203142672,0.6946011851997691,D,3.799484412274008
53033010900,0.0,0.0,0.0,0.0,0.0,ungraded,
53033011101,0.0,0.0,1.0000000000000004,0.0,1.0000000000000004,C,3.0
53033012000,0.0,0.0,0.0,0.0,0.0,ungraded,
53033011200,0.0,0.0,0.0,0.2776092395882422,0.2776092395882422,D,4.0
53033011300,0.0,0.0,0.0,0.7015601675983133,0.7015601675983133,D,4.0
53033012100,0.0,0.02260210951675716,0.0,0.0,0.02260210951675716,B,2.0
53033011500,0.0,0.17643713590227608,0.5812844692967627,0.24227839480095897,0.9999999999999978,C,3.065841258898683
53033011700,0.0,0.0,0.9517564675750202,0.0,0.9517564675750202,C,3.0
53033006703,0.0,0.7352661581442609,0.1337787818987626,0.0,0.8690449400430235,B,2.153937703028499
53033009801,0.0590637565074107,0.9409362434925976,0.0,0.0,1.0000000000000084,B,1.9409362434925896
53033004101,0.20678147014084536,0.061938287210886116,0.02060980370328412,0.0,0.2893295610550156,A,1.3565411506563583
53033004702,0.0,0.0,0.5155308772837686,0.0,0.5155308772837686,C,3.0
53033004202,0.0,0.7459422876948211,0.1249086741850581,0.0,0.8708509618798792,B,2.14343289455112
53033007503,0.0,0.0,0.010941659446125228,0.06889663320569245,0.07983829265181767,D,3.8629522365433986
53033026700,0.0,0.0,0.0,0.0,0.0,ungraded,
53033026500,0.0,0.0,0.0,0.045917093221096925,0.045917093221096925,D,4.0
53033026300,0.0,0.0,3.501614144292104e-05,0.0,3.501614144292104e-05,C,3.0
53033008002,0.0,0.0,0.0,0.0,0.0,ungraded,
53033006000,0.0,0.4085429911443291,0.25072266776706476,0.0,0.6592656589113939,B,2.380305972832057
53033006600,0.0,0.25967736661900487,0.00434203512608962,0.08686868845317583,0.3508880901982703,B,2.5075105625038945
53033006800,0.0,0.9999999999999997,0.0,0.0,0.9999999999999997,B,2.0
53033006900,0.19772957331375227,0.7531179541930456,0.0491524724932094,0.0,1.0000000000000073,B,1.8514228991794581
53033000402,0.0,0.0,0.0,0.0,0.0,ungraded,
53033000500,0.0,0.0,0.0,0.0,0.0,ungraded,
53033001100,0.0,0.0,0.0,0.0,0.0,ungraded,
53033001300,0.0,0.0,0.0,0.0,0.0,ungraded,
53033001500,0.0008376297806759184,9.542444008011466e-05,0.0,0.0,0.0009330542207560331,A,1.1022710555907398
53033003500,0.0,0.7165890313008821,0.0,0.0,0.7165890313008821,B,2.0
53033004000,0.0,0.0017482946694154288,0.0020567775594100097,0.0,0.0038050722288254383,C,2.540535746950828
53033003400,0.0,0.5998563986433588,0.400143601356649,0.0,1.0000000000000078,B,2.400143601356646
53033004500,0.0,0.979136258166339,0.02086374183366524,0.0,1.0000000000000042,B,2.0208637418336655
53033004800,0.0,0.09293509490493491,0.686956982199214,0.0,0.7798920771041489,C,2.880835954572053
53033008200,0.0,0.0,0.0,0.1533947775133589,0.1533947775133589,D,4.0
53033008300,0.0,0.0,0.0,0.6394361714111199,0.6394361714111199,D,4.0
53033008500,0.0,0.0,0.0,0.5715668120919319,0.5715668120919319,D,4.0
53033008700,0.0,0.0,0.0,0.9999999999999879,0.9999999999999879,D,4.0
53033008800,0.0,0.018910128729374334,0.1447302228930091,0.8363596483776046,0.999999999999988,D,3.81744951964824
